"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_BUS",-2.11342813138643,0.468149788015821,-4.5144271886651,0.447327945425398,-4.72456092448373
"ASC_WALK",0,NA,NA,NA,NA
"ASC_MOTOBIKE",0,NA,NA,NA,NA
"b_tt_BUS",-0.0095775910283311,0.00866433285258529,-1.10540432729028,0.00729695636156989,-1.31254601970383
"b_tt_WALK",-0.184539143262711,0.0530023441339427,-3.48171663495412,0.0541456466549436,-3.40819908272095
"b_tt_MOTOBIKE",-0.0527102702368839,0.0268278619039789,-1.96475851953995,0.0206314457864464,-2.55485101637963
"b_cost",-0.0742435608583191,0.0324128211090769,-2.2905615221974,0.0340826548252053,-2.1783385490092
"b_air",0.565551739346925,0.252002526527429,2.24423043348086,0.315371944557219,1.79328487871982
"b_shade",0.101737744042501,0.20311185087897,0.500895164916421,0.222276626706266,0.457707792088036
"b_helmet",-0.475053708953768,0.205129854756445,-2.31586820708185,0.200389363947061,-2.37065331011913
"b_pavement",0.292676539349214,0.205621910373675,1.42337233817804,0.232804828518586,1.25717555435431
