"ASC_BUS","ASC_WALK","ASC_MOTOBIKE","b_tt_BUS","b_tt_WALK","b_tt_MOTOBIKE","b_cost","b_air","b_shade","b_helmet","b_pavement","logLike"
0,0,0,0,0,0,0,0,0,0,0,-492.178305323313
0,0,0,0,0,0,0,0,0,0,0,-492.178305323313
-0.000733866666666667,0,0,-0.0255573333333333,0.00418133333333334,0.00205653333333334,0.00113066666666667,-0.0002048,0.0003072,9.38666666666668e-05,0.0003328,-482.201422769162
-0.000839796176724535,0,0,-0.0257362261941546,0.00515548942150891,0.000784761053837876,-0.000268678665011936,-0.000105670229001508,0.00043365147057633,2.23477320123177e-05,0.000490957809710606,-481.916098005182
-0.0137311085740133,0,0,-0.0306380073273439,-0.0157947397491121,-0.018826397906911,-0.000199288126122224,0.0125926838771327,0.0081177121120213,-0.00153714158193099,0.0125194685884697,-481.40471680528
-0.146611617381192,0,0,-0.0374175437395332,-0.0741387276512549,-0.00305759536074571,-0.0488607240036868,0.126352321201149,0.0892900078256372,-0.0240491109702458,0.139988925456297,-479.76137999229
-0.828727824541569,0,0,-0.0254114336920537,-0.117199317771709,-0.0378654468767465,-0.00494292129658466,0.648942794388293,0.480192433042725,-0.137114078370253,0.761699133271398,-475.897325033794
-3.10147495553602,0,0,-0.00881156517071677,-0.249944904016098,-0.0593950147719878,-0.0999159013508954,1.00192131190762,0.0715583262707949,-0.712281945811241,0.472204126813545,-467.471510807032
-3.08806078874657,0,0,-0.0046424862121105,-0.250431210780558,-0.0581126897444325,-0.109977388259389,0.809624468632211,0.263340276516912,-0.455857226521397,0.341845898702179,-467.130679337362
-2.58700298212877,0,0,-0.00713895348898539,-0.231805370311634,-0.0562173815673335,-0.0948272024832549,0.491934782122638,0.305628320252516,-0.531826574353852,0.317481886240167,-464.636733317282
-2.37504703675457,0,0,-0.00741176396050161,-0.206582703099177,-0.0531048123009461,-0.0879049068910765,0.500320418747008,0.180207846298445,-0.427614000909298,0.32596158296645,-463.662380323757
-2.30735883194948,0,0,-0.00760826505519757,-0.194400749400171,-0.0513908134774312,-0.0818190199985346,0.565485147566867,0.189124615682525,-0.431282530490158,0.266429606516614,-463.46201101224
-2.05756147592712,0,0,-0.0101222928235043,-0.183076276147358,-0.0525963985340613,-0.0727903637925665,0.548739007626656,0.0893988276010977,-0.487030212690742,0.30441740191023,-463.054969335473
-2.11596223249141,0,0,-0.00953996698685695,-0.184401721765608,-0.0526743656872901,-0.0741880132771206,0.568058500763566,0.100903449999061,-0.475029687927603,0.292873594673813,-463.030302954078
-2.11332820535572,0,0,-0.0095732363106098,-0.1845253303239,-0.0527067048767396,-0.0742356754890707,0.565306128185873,0.10186394252434,-0.475009073062866,0.292596791841954,-463.030221274366
-2.11342648667034,0,0,-0.00957768298787495,-0.184538922036067,-0.0527102757398099,-0.0742435716485355,0.565551781327545,0.101737754865226,-0.475053867086603,0.292676585808261,-463.030220375635
-2.11342648052071,0,0,-0.00957759047482673,-0.184538973361991,-0.0527102821900685,-0.0742435996432073,0.565551795149021,0.101737746298981,-0.475053867251822,0.292676588740623,-463.030220375412
-2.11342813138643,0,0,-0.0095775910283311,-0.184539143262711,-0.0527102702368839,-0.0742435608583191,0.565551739346925,0.101737744042501,-0.475053708953768,0.292676539349214,-463.030220374496
